Month,Plot,Species,Tree,Tree2,HorL,LorR,#leaflets,existing,missing,prop,propmod,total,logit2,#areas,comments
July,4,mandshurica,1-Apr,,H,4,9,3567875,1405989,0.282675401,0.282675401,4973864,-0.404427708,5,
May,1,nigra,8-Jan,1.8,H,3,9,2426672,419092,0.147268712,0.147268712,2845764,-0.762701708,3,
July,3,nigra,3-Mar,3.3,H,2,8,2926010,443664,0.131663775,0.131663775,3369674,-0.819221616,7,
July,5,hybrid,6-May,,L,1,10,1994024,280578,0.123352569,0.123352569,2274602,-0.851676766,7,
July,5,nigra,8-May,,H,2,9,1945573,266005,0.120278371,0.120278371,2211578,-0.864157731,6,
July,4,nigra,4-Apr,,L,1,9,2380424,311617,0.115754923,0.115754923,2692041,-0.883033178,6,
July,1,mandshurica,3-Jan,1.3,H,2,7,4550062,544257,0.106836066,0.106836066,5094319,-0.922213291,4,
May,5,nigra,5-May,,L,1,10,4052617,395153,0.088842948,0.088842948,4447770,-1.010970278,6,
July,5,mandshurica,4-May,,H,2,7,4312042,358649,0.076787139,0.076787139,4670691,-1.080013358,6,
July,1,pennsylvanica,6-Jan,1.6,H,L,5,1587544,128322,0.07478556,0.07478556,1715866,-1.092424651,1,
July,5,mandshurica,4-May,,L,4,9,3770045,280837,0.069327371,0.069327371,4050882,-1.127892209,3,
May,1,hybrid,7-Jan,1.7,H,1,11,4395461,283602,0.060610853,0.060610853,4679063,-1.190295142,5,
July,4,mandshurica,1-Apr,,H,2,9,3797309,231120,0.057372241,0.057372241,4028429,-1.21563841,33,"small brown dots, counted large holes but small could be pathogens"
May,3,hybrid,1-Mar,3.1,H,3,10,4066697,226153,0.052681319,0.052681319,4292850,-1.254839462,2,
May,2,mandshurica,6-Feb,2.6,L,3,12,2813570,137756,0.046675969,0.046675969,2951326,-1.310147201,11,
July,4,mandshurica,1-Apr,,L,3,8,2260414,109702,0.046285498,0.046285498,2370116,-1.313973443,4,
July,5,hybrid,6-May,,L,2,11,4258663,182876,0.041174016,0.041174016,4441539,-1.367116561,2,
July,1,hybrid,5-Jan,1.5,L,3,9,2498357,106887,0.041027635,0.041027635,2605244,-1.368729609,4,
July,3,mandshurica,7-Mar,,H,4,8,4163240,176278,0.040621562,0.040621562,4339518,-1.373233333,6,
July,5,hybrid,6-May,,L,3,11,5573143,225709,0.038923049,0.038923049,5798852,-1.39255131,4,
July,4,hybrid,5-Apr,,L,3,10,3804948,139046,0.035255125,0.035255125,3943994,-1.437190226,2,
May,3,hybrid,1-Mar,3.1,H,2,11,3703058,134768,0.035115714,0.035115714,3837826,-1.438973731,2,
July,2,mandshurica,3-Feb,2.3,H,1,9,4412409,159460,0.034878515,0.034878515,4571869,-1.442024002,9,
July,5,mandshurica,4-May,,L,2,9,3452506,119270,0.033392352,0.033392352,3571776,-1.461603223,1,
July,5,hybrid,6-May,,H,2,7,3682114,119126,0.031338721,0.031338721,3801240,-1.490090671,9,
July,2,nigra,4-Feb,2.4,L,4,9,1465717,47283,0.031251157,0.031251157,1513000,-1.491345101,1,
July,4,hybrid,5-Apr,,L,1,11,4549670,139780,0.029807333,0.029807333,4689450,-1.512534861,1,
May,5,mandshurica,3-May,,H,4,10,2854946,82909,0.02822093,0.02822093,2937855,-1.536996221,1,
May,4,nigra,6-Apr,,H,1,9,3077987,87773,0.027725728,0.027725728,3165760,-1.544905839,4,
July,5,pennsylvanica,2-May,,H,R,5,2044747,56432,0.026857302,0.026857302,2101179,-1.559114137,1,
July,3,nigra,3-Mar,3.3,H,1,9,1975098,53841,0.02653653,0.02653653,2028939,-1.564475532,2,
May,5,pennsylvanica,7-May,,L,L,5,1453373,39171,0.026244452,0.026244452,1492544,-1.569412429,5,
July,5,pennsylvanica,2-May,,L,L,5,1499836,38898,0.025279223,0.025279223,1538734,-1.586116502,4,
July,1,hybrid,5-Jan,1.5,H,3,11,5975097,148491,0.024249019,0.024249019,6123588,-1.604644828,7,
July,4,mandshurica,1-Apr,,H,3,11,4543198,112209,0.024102941,0.024102941,4655407,-1.607333973,3,
July,5,mandshurica,4-May,,H,3,8,4534885,108193,0.023301999,0.023301999,4643078,-1.622367115,2,
May,5,pennsylvanica,7-May,,H,R,7,1871913,41645,0.021763124,0.021763124,1913558,-1.652722794,8,
July,5,hybrid,6-May,,H,4,9,4854971,106740,0.02151274,0.02151274,4961711,-1.657859442,12,
July,5,pennsylvanica,2-May,,L,R,5,1801088,39176,0.02128825,0.02128825,1840264,-1.662514842,1,
July,4,nigra,4-Apr,,L,4,9,4137184,67743,0.016110387,0.016110387,4204927,-1.785840411,13,
July,2,mandshurica,3-Feb,2.3,H,4,8,3331435,43577,0.012911658,0.012911658,3375012,-1.883374016,40,lots of small holes
May,2,hybrid,8-Feb,2.8,L,2,9,3491486,41176,0.0116558,0.0116558,3532662,-1.92836615,14,
July,3,hybrid,2-Mar,3.2,L,3,11,5234140,61724,0.011655133,0.011655133,5295864,-1.928391272,3,
July,1,pennsylvanica,6-Jan,1.6,H,R,5,1108304,12999,0.011592763,0.011592763,1121303,-1.930748957,4,Weird leaf
July,5,nigra,8-May,,L,3,11,5412727,61326,0.011203034,0.011203034,5474053,-1.945771485,14,
July,4,pennsylvanica,8-Apr,,H,L,5,1952575,22074,0.011178696,0.011178696,1974649,-1.946726686,7,
July,3,nigra,3-Mar,3.3,L,1,11,5133590,56301,0.010848205,0.010848205,5189891,-1.959905072,7,
July,5,mandshurica,4-May,,H,4,8,3655129,38114,0.010319928,0.010319928,3693243,-1.981818179,18,
July,1,hybrid,5-Jan,1.5,L,4,9,3419358,34094,0.009872441,0.009872441,3453452,-2.001266616,5,
July,5,hybrid,6-May,,H,1,9,3548342,33792,0.009433483,0.009433483,3582134,-2.021211575,5,
July,4,pennsylvanica,8-Apr,,H,R,5,1887807,17128,0.008991383,0.008991383,1904935,-2.042250938,1,
May,1,pennsylvanica,1-Jan,1.1,L,L,5,2367025,20667,0.008655639,0.008655639,2387692,-2.058925405,1,
July,2,pennsylvanica,7-Feb,2.7,L,R,5,1438829,11960,0.00824379,0.00824379,1450789,-2.080278003,1,
May,3,hybrid,1-Mar,3.1,L,4,10,3768072,29454,0.007756102,0.007756102,3797526,-2.10697491,1,
July,5,nigra,8-May,,H,1,9,3880054,30109,0.007700191,0.007700191,3910163,-2.110141438,9,
July,2,mandshurica,3-Feb,2.3,H,2,11,4810492,35377,0.007300445,0.007300445,4845869,-2.133468495,6,
July,2,nigra,4-Feb,2.4,L,2,11,5220855,38068,0.007238745,0.007238745,5258923,-2.137181571,24,
May,2,nigra,5-Feb,2.5,L,3,9,1926233,13903,0.007165992,0.007165992,1940136,-2.141600296,22,
July,3,nigra,3-Mar,3.3,L,2,9,4291842,29387,0.006800612,0.006800612,4321229,-2.164488472,2,
July,2,pennsylvanica,7-Feb,2.7,L,L,5,1432829,9552,0.006622383,0.006622383,1442381,-2.176100049,1,brown spots
May,4,hybrid,2-Apr,,L,4,10,4899958,32185,0.006525561,0.006525561,4932143,-2.182538844,2,
July,1,nigra,2-Jan,1.2,H,1,11,2414696,15559,0.006402209,0.006402209,2430255,-2.190880782,17,
July,3,nigra,3-Mar,3.3,L,3,11,4489424,28574,0.006324483,0.006324483,4517998,-2.196219584,9,
July,5,pennsylvanica,2-May,,H,L,5,1738881,9658,0.005523468,0.005523468,1748539,-2.255382661,1,
May,3,nigra,5-Mar,,H,4,11,2957081,16318,0.005487995,0.005487995,2973399,-2.258196292,15,
July,3,hybrid,2-Mar,3.2,L,2,9,5427626,27989,0.005130311,0.005130311,5455615,-2.287622532,8,
July,2,pennsylvanica,7-Feb,2.7,H,R,5,1634172,8385,0.005104846,0.005104846,1642557,-2.289794698,7,
July,3,mandshurica,7-Mar,,H,1,7,4130145,21143,0.005093118,0.005093118,4151288,-2.290798689,8,
May,3,mandshurica,6-Mar,,H,3,12,4904325,24330,0.004936438,0.004936438,4928655,-2.304437133,1,
July,3,hybrid,2-Mar,3.2,L,4,9,5548911,27295,0.004894905,0.004894905,5576206,-2.30812466,4,
July,1,nigra,2-Jan,1.2,H,4,11,2798229,12774,0.004544285,0.004544285,2811003,-2.340556341,7,
May,3,pennsylvanica,4-Mar,,L,R,4,1345500,6096,0.004510223,0.004510223,1351596,-2.343838744,7,
